Date_1,Description_1,Deposits,Withdrawls,Balance
Jun,Miscellaneous,0,5464.72,32788.35
Jul,Transfer,0,16394.18,16394.18
Aug,Bill,0,3278.84,13115.34
Sep,IMPS,4.13,0,13119.47
Oct,NEFT,5.05,0,13124.52
Nov,Tax,363.73,0,13488.25
Dec,Purchase,266.36,0,13754.61
Jan,Interest,25876.8,0,39631.41
Feb,Reversal,915756,0,955387.41
Mar,IMPS,1539.84,0,956927.25
Apr,Tax,2572.6,0,959499.85
May,Purchase,1463439.5,0,2422939.35
Jun,Miscellaneous,0,484587.87,1938351.48
Jul,NEFT,0,215372.39,1722979.09
Aug,Tax,3038.6,0,1726017.69
Sep,IMPS,17262.16,0,1743279.85
Oct,Cheque,302.3,0,1743582.15
Nov,Debit Card,116756.5,0,1860338.65
Dec,Cash,0,930169.33,930169.32
Jan,Transfer,1607206,0,2537375.32
Feb,Tax,466,0,2537841.32
Mar,Transfer,427407,0,2965248.32
Apr,ATM,18146.8,0,2983395.12
May,Purchase,0,426199.3,2557195.82
Jun,Purchase,0,2557195.82,0
Jul,Cash,25216.41,0,25216.41
Aug,Bill,47.54,0,25263.95
Sep,Cheque,947771.5,0,973035.45
Oct,Debit Card,281.88,0,973317.33
Nov,Cash,0,121664.67,851652.66
Dec,Purchase,0,121664.67,729987.99
Jan,Debit Card,103030.81,0,833018.8
Feb,Cash,51.95,0,833070.75
Mar,IMPS,0,833070.75,0
Apr,ATM,2.61,0,2.61
May,NEFT,0,0.33,2.28
Jun,Cheque,0,1.14,1.14
Jul,NEFT,2773,0,2774.14
Aug,ATM,0,924.71,1849.43
Sep,Cash,247.35,0,2096.78
Oct,ATM,0,419.36,1677.42
Nov,RTGS,3402.09,0,5079.51
Dec,RTGS,0,2539.76,2539.76
Jan,Cash,54.1,0,2593.86
Feb,Bill,0,370.55,2223.31
Mar,Commission,21940.8,0,24164.11
Apr,ATM,150118.6,0,174282.71
May,Tax,0,21785.34,152497.37
Jun,Purchase,13538.7,0,166036.07
Jul,RTGS,2,0,166038.07
Aug,Miscellaneous,0,27673.01,138365.06
Sep,RTGS,0,46121.69,92243.37
Oct,Cheque,0,23060.84,69182.53
Nov,NEFT,242.46,0,69424.99
Dec,Tax,0,8678.12,60746.87
Jan,Bill,0,20248.96,40497.91
Feb,RTGS,0,5062.24,35435.67
Mar,IMPS,0,4429.46,31006.21
Apr,Cash,0,7751.55,23254.66
May,Commission,370,0,23624.66
Jun,Miscellaneous,3312.9,0,26937.56
Jul,Cash,1.05,0,26938.61
Aug,Reversal,61,0,26999.61
Sep,ATM,25.4,0,27025.01
Oct,Cheque,16008,0,43033.01
Nov,IMPS,22,0,43055.01
Dec,Commission,0,10763.75,32291.26
Jan,Miscellaneous,103,0,32394.26
Feb,Debit Card,2994.4,0,35388.66
Mar,Miscellaneous,245738.4,0,281127.06
Apr,Purchase,14,0,281141.06
May,Bill,0,35142.63,245998.43
Jun,Reversal,0,245998.43,0
Jul,Miscellaneous,2032990,0,2032990
Aug,RTGS,0,203299,1829691
Sep,Tax,59,0,1829750
Oct,Interest,37967.91,0,1867717.91
Nov,Transfer,0,373543.58,1494174.33
Dec,Bill,3592.6,0,1497766.93
Jan,ATM,14.19,0,1497781.12
Feb,Purchase,0,748890.56,748890.56
Mar,Reversal,204362.5,0,953253.06
Apr,Miscellaneous,1022944,0,1976197.06
May,Cheque,0,494049.27,1482147.8
Jun,Transfer,0,370536.95,1111610.85
Jul,Transfer,0,222322.17,889288.68
Aug,Cheque,0,444644.34,444644.34
Sep,Tax,6.92,0,444651.26
Oct,Cheque,0,74108.54,370542.72
Nov,Cheque,0,185271.36,185271.36
Dec,Commission,0,26467.34,158804.02
Jan,IMPS,0,39701.01,119103.01
Feb,Purchase,0,14887.88,104215.13
Mar,RTGS,0,10421.51,93793.62
Apr,RTGS,0,18758.72,75034.9
May,Miscellaneous,0,75034.9,0
Jun,Bill,27.9,0,27.9
Jul,Commission,0,3.1,24.8
Aug,NEFT,3,0,27.8
Sep,Debit Card,5.3,0,33.1
Oct,ATM,0,11.03,22.07
Nov,IMPS,1.93,0,24
Dec,NEFT,0,8,16
Jan,Debit Card,0,4,12
Feb,Bill,0,4,8
Mar,Purchase,0,1,7
Apr,Purchase,31441.8,0,31448.8
May,Debit Card,22802.4,0,54251.2
Jun,Transfer,0,7750.17,46501.03
Jul,Tax,0,4650.1,41850.93
Aug,Purchase,0,8370.19,33480.74
Sep,Interest,0,4185.09,29295.65
Oct,Commission,0,5859.13,23436.52
Nov,Cheque,30621,0,54057.52
Dec,Cheque,0,6757.19,47300.33
Jan,RTGS,0,5255.59,42044.74
Feb,IMPS,130183.7,0,172228.44
Mar,Commission,3153.54,0,175381.98
Apr,NEFT,0,175381.98,0
May,Cash,50349,0,50349
Jun,Debit Card,5941,0,56290
Jul,NEFT,0,5629,50661
Aug,Bill,1998,0,52659
Sep,RTGS,0,5265.9,47393.1
Oct,Tax,0,23696.55,23696.55
Nov,Cash,52,0,23748.55
Dec,Miscellaneous,23.2,0,23771.75
Jan,Transfer,58.4,0,23830.15
Feb,Commission,0,4766.03,19064.12
Mar,RTGS,0,4766.03,14298.09
Apr,NEFT,238467.75,0,252765.84
May,Purchase,28667.4,0,281433.24
Jun,Miscellaneous,9440,0,290873.24
Jul,NEFT,22,0,290895.24
Aug,ATM,0,290895.24,0
Sep,Commission,55.41,0,55.41
Oct,ATM,0,9.24,46.18
Nov,Cheque,0,23.09,23.09
Dec,NEFT,0,2.57,20.52
Jan,Purchase,0,2.28,18.24
Feb,ATM,0,18.24,0
Mar,Purchase,3706.36,0,3706.36
Apr,Commission,0,370.64,3335.72
May,Cheque,15,0,3350.72
Jun,Cheque,0,1116.91,2233.81
Jul,Commission,0,446.76,1787.05
Aug,Debit Card,44,0,1831.05
Sep,Purchase,32,0,1863.05
Oct,Interest,42.92,0,1905.97
Nov,Bill,1214,0,3119.97
Dec,Transfer,0,312,2807.97
Jan,Bill,0,280.8,2527.17
Feb,Cash,0,505.43,2021.74
Mar,Interest,21549.9,0,23571.64
Apr,Purchase,4.6,0,23576.24
May,Commission,0,5894.06,17682.18
Jun,Debit Card,168847.41,0,186529.59
Jul,Miscellaneous,1170341,0,1356870.59
Aug,ATM,0,193838.66,1163031.93
Sep,NEFT,1342.54,0,1164374.47
Oct,IMPS,0,582187.24,582187.24
Nov,Transfer,16742,0,598929.24
Dec,Bill,1069,0,599998.24
Jan,Miscellaneous,0,99999.71,499998.53
Feb,ATM,47,0,500045.53
Mar,Purchase,257563.38,0,757608.91
Apr,Miscellaneous,0,151521.78,606087.13
May,ATM,0,86583.88,519503.25
Jun,IMPS,0,57722.58,461780.67
Jul,Debit Card,0,51308.96,410471.71
Aug,Purchase,86484,0,496955.71
Sep,Bill,9309.1,0,506264.81
Oct,Cheque,3948.6,0,510213.41
Nov,Cash,236689,0,746902.41
Dec,ATM,0,373451.21,373451.2
Jan,Miscellaneous,223208.31,0,596659.51
Feb,Cheque,5228.2,0,601887.71
Mar,Reversal,31779.4,0,633667.11
Apr,Reversal,61605,0,695272.11
May,Miscellaneous,63,0,695335.11
Jun,Transfer,0,115889.19,579445.93
Jul,Miscellaneous,1556167,0,2135612.93
Aug,Transfer,0,237290.33,1898322.6
Sep,Transfer,0,189832.26,1708490.34
Oct,Bill,0,170849.03,1537641.31
Nov,ATM,0,768820.66,768820.66
Dec,IMPS,345.9,0,769166.56
Jan,NEFT,0,153833.31,615333.25
Feb,Bill,3584,0,618917.25
Mar,Commission,3739.74,0,622656.99
Apr,Reversal,22.51,0,622679.5
May,Cash,0,124535.9,498143.6
Jun,Transfer,25.7,0,498169.3
Jul,NEFT,0,249084.65,249084.65
Aug,Miscellaneous,157494,0,406578.65
Sep,Transfer,0,67763.11,338815.54
Oct,Tax,0,84703.89,254111.65
Nov,Commission,3763.35,0,257875
Dec,IMPS,83559,0,341434
Jan,NEFT,0,37937.11,303496.89
Feb,Interest,0,33721.88,269775.01
Mar,Tax,0,29975,239800.01
Apr,Transfer,0,79933.34,159866.67
May,Cheque,0,22838.1,137028.57
Jun,NEFT,0,68514.29,68514.28
Jul,Transfer,0,17128.57,51385.71
Aug,Cash,0,5709.52,45676.19
Sep,Transfer,8,0,45684.19
Oct,Bill,61.4,0,45745.59
Nov,Transfer,1435,0,47180.59
Dec,Transfer,249607.97,0,296788.56
Jan,RTGS,5.8,0,296794.36
Feb,Commission,63,0,296857.36
Mar,Commission,3508,0,300365.36
Apr,Cheque,0,60073.07,240292.29
May,IMPS,2028144.5,0,2268436.79
Jun,RTGS,0,324062.4,1944374.39
Jul,Cash,0,972187.2,972187.2
Aug,Interest,0,162031.2,810156
Sep,RTGS,190153.44,0,1000309.44
Oct,Commission,0,333436.48,666872.96
Nov,Interest,0,95267.57,571605.39
Dec,Commission,0,190535.13,381070.26
Jan,Debit Card,7047,0,388117.26
Feb,Purchase,3810.47,0,391927.73
Mar,Transfer,0,39192.77,352734.96
Apr,Debit Card,0,39192.77,313542.19
May,Bill,3.91,0,313546.1
Jun,Cheque,0,39193.26,274352.84
Jul,Commission,0,30483.65,243869.19
Aug,ATM,186448,0,430317.19
Sep,Bill,0,107579.3,322737.89
Oct,NEFT,666452,0,989189.89
Nov,NEFT,314,0,989503.89
Dec,RTGS,0,329834.63,659669.26
Jan,Interest,20007.9,0,679677.16
Feb,Interest,14274,0,693951.16
Mar,Transfer,0,231317.05,462634.11
Apr,Debit Card,1580996.8,0,2043630.91
May,Debit Card,1,0,2043631.91
Jun,Cash,851002,0,2894633.91
Jul,Miscellaneous,156.66,0,2894790.57
Aug,IMPS,0,289479.06,2605311.51
Sep,Commission,5,0,2605316.51
Oct,Transfer,0,372188.07,2233128.44
Nov,Interest,817783,0,3050911.44
Dec,Reversal,215,0,3051126.44
Jan,IMPS,0,435875.21,2615251.23
Feb,Commission,0,2615251.23,0
Mar,Cheque,29.3,0,29.3
Apr,RTGS,231436,0,231465.3
May,ATM,219043.5,0,450508.8
Jun,Bill,0,50056.53,400452.27
Jul,Purchase,0,80090.45,320361.82
Aug,Bill,1095,0,321456.82
Sep,NEFT,0,80364.21,241092.62
Oct,Interest,0,48218.52,192874.1
Nov,Reversal,192383,0,385257.1
Dec,Commission,7,0,385264.1
Jan,Cash,1.5,0,385265.6
Feb,NEFT,25337.64,0,410603.24
Mar,Cash,176460.4,0,587063.64
Apr,Debit Card,0,293531.82,293531.82
May,Transfer,0,32614.65,260917.17
Jun,Bill,0,26091.72,234825.45
Jul,Interest,114286,0,349111.45
Aug,Interest,28733,0,377844.45
Sep,NEFT,26,0,377870.45
Oct,Cheque,255.5,0,378125.95
Nov,NEFT,0,54017.99,324107.96
Dec,NEFT,0,46301.14,277806.82
Jan,Transfer,0,27780.68,250026.14
Feb,Debit Card,0,83342.05,166684.09
Mar,RTGS,4.69,0,166688.78
Apr,Bill,0.7,0,166689.48
May,Commission,5763.6,0,172453.08
Jun,IMPS,1062.1,0,173515.18
Jul,Bill,193615,0,367130.18
Aug,Debit Card,35,0,367165.18
Sep,Reversal,0,40796.13,326369.05
Oct,IMPS,8.9,0,326377.95
Nov,Cheque,0,40797.24,285580.71
Dec,IMPS,2023,0,287603.71
Jan,NEFT,614652,0,902255.71
Feb,Tax,18539.43,0,920795.14
Mar,Miscellaneous,477.5,0,921272.64
Apr,ATM,809.95,0,922082.59
May,Purchase,0,115260.32,806822.27
Jun,NEFT,3279.06,0,810101.33
Jul,Tax,0,270033.78,540067.55
Aug,Reversal,8988,0,549055.55
Sep,NEFT,12542.3,0,561597.85
Oct,Reversal,0,280798.93,280798.92
Nov,ATM,259847.4,0,540646.32
Dec,Transfer,0,270323.16,270323.16
Jan,NEFT,0,90107.72,180215.44
Feb,RTGS,39.7,0,180255.14
Mar,Reversal,231721,0,411976.14
Apr,Cash,322.19,0,412298.33
May,Purchase,43.2,0,412341.53
Jun,Transfer,7.31,0,412348.84
Jul,RTGS,543729,0,956077.84
Aug,RTGS,0,318692.61,637385.23
Sep,IMPS,0,127477.05,509908.18
Oct,Tax,0,169969.39,339938.79
Nov,NEFT,3862.1,0,343800.89
Dec,Bill,0,343800.89,0
Jan,Debit Card,21344.96,0,21344.96
Feb,RTGS,0,3049.28,18295.68
Mar,Cheque,0,2286.96,16008.72
Apr,Interest,0,2668.12,13340.6
May,Purchase,48367,0,61707.6
Jun,Interest,1109200.25,0,1170907.85
Jul,Transfer,0,130100.87,1040806.98
Aug,Cheque,0,520403.49,520403.49
Sep,IMPS,0,520403.49,0
Oct,Interest,2,0,2
Nov,Tax,104156,0,104158
Dec,ATM,3.7,0,104161.7
Jan,Interest,0,10416.17,93745.53
Feb,Miscellaneous,1345206.2,0,1438951.73
Mar,Debit Card,1,0,1438952.73
Apr,Miscellaneous,0,159883.64,1279069.09
May,Commission,422.68,0,1279491.77
Jun,Interest,2872.8,0,1282364.57
Jul,Cheque,1265171,0,2547535.57
Aug,RTGS,0,509507.11,2038028.46
Sep,Cheque,651428.5,0,2689456.96
Oct,Interest,0,268945.7,2420511.26
Nov,IMPS,27888,0,2448399.26
Dec,IMPS,2166.1,0,2450565.36
Jan,Debit Card,7688,0,2458253.36
Feb,Cash,0,2458253.36,0
Mar,Cash,56,0,56
Apr,RTGS,1489.02,0,1545.02
May,Transfer,549,0,2094.02
Jun,Interest,7.45,0,2101.47
Jul,Debit Card,63.6,0,2165.07
Aug,Miscellaneous,0,433.01,1732.06
Sep,Purchase,0,216.51,1515.55
Oct,ATM,0,303.11,1212.44
Nov,Transfer,1023.88,0,2236.32
Dec,IMPS,0,745.44,1490.88
Jan,ATM,33.4,0,1524.28
Feb,Miscellaneous,0,1524.28,0
Mar,Tax,97169,0,97169
Apr,Cash,125941,0,223110
May,NEFT,50.73,0,223160.73
Jun,Tax,37.6,0,223198.33
Jul,Purchase,141.35,0,223339.68
Aug,Cash,0,37223.28,186116.4
Sep,Purchase,53.09,0,186169.49
Oct,Purchase,0,23271.19,162898.3
Nov,Cheque,0,54299.43,108598.87
Dec,Commission,27.85,0,108626.72
Jan,Commission,2.1,0,108628.82
Feb,Purchase,1,0,108629.82
Mar,Interest,16.6,0,108646.42
Apr,Cash,0,13580.8,95065.62
May,ATM,5,0,95070.62
Jun,Transfer,386,0,95456.62
Jul,Miscellaneous,0,11932.08,83524.54
Aug,IMPS,0,13920.76,69603.78
Sep,Transfer,15677.37,0,85281.15
Oct,Transfer,4095.42,0,89376.57
Nov,Commission,463777,0,553153.57
Dec,Debit Card,2788.07,0,555941.64
Jan,Tax,0,61771.29,494170.35
Feb,Transfer,0,70595.76,423574.59
Mar,Commission,0,47063.84,376510.75
Apr,RTGS,0,125503.58,251007.17
May,Reversal,0,83669.06,167338.11
Jun,IMPS,0,27889.69,139448.42
Jul,Cheque,46,0,139494.42
Aug,Interest,0,27898.88,111595.54
Sep,Purchase,0,18599.26,92996.28
Oct,Purchase,0,23249.07,69747.21
Nov,Reversal,0,23249.07,46498.14
Dec,Debit Card,0,11624.54,34873.6
Jan,Tax,1.73,0,34875.33
Feb,Cheque,761251.2,0,796126.53
Mar,Debit Card,0,99515.82,696610.71
Apr,Bill,0,232203.57,464407.14
May,Interest,59.59,0,464466.73
Jun,Interest,7.1,0,464473.83
Jul,ATM,0,116118.46,348355.37
Aug,ATM,0,49765.05,298590.32
Sep,Cheque,14822,0,313412.32
Oct,Cheque,0.69,0,313413.01
Nov,Miscellaneous,5.67,0,313418.68
Dec,Cash,0,34824.3,278594.38
Jan,RTGS,6.7,0,278601.08
Feb,Cheque,3108.15,0,281709.23
Mar,Cash,0,140854.62,140854.62
Apr,Transfer,0,28170.92,112683.7
May,Interest,0,56341.85,56341.85
Jun,RTGS,0,7042.73,49299.12
Jul,Cash,12911.1,0,62210.22
Aug,Cheque,3979.12,0,66189.34
Sep,Cheque,0,16547.34,49642
Oct,NEFT,291,0,49933
Nov,Cheque,0,4993.3,44939.7
Dec,Transfer,0,22469.85,22469.85
Jan,Interest,6.48,0,22476.33
Feb,RTGS,43,0,22519.33
Mar,Cheque,0,3753.22,18766.11
Apr,Bill,6,0,18772.11
May,IMPS,0,18772.11,0
Jun,IMPS,1.59,0,1.59
Jul,NEFT,2.8,0,4.39
Aug,Miscellaneous,0,0.88,3.51
Sep,Cash,300635.5,0,300639.01
Oct,Commission,0,75159.75,225479.26
Nov,Cash,0,56369.82,169109.44
Dec,Purchase,2.7,0,169112.14
Jan,Cheque,18239.35,0,187351.49
Feb,IMPS,0,23418.94,163932.55
Mar,NEFT,229424,0,393356.55
Apr,Miscellaneous,187.2,0,393543.75
May,NEFT,0,196771.88,196771.88
Jun,Debit Card,230.65,0,197002.53
Jul,IMPS,0,24625.32,172377.21
Aug,Cash,0,34475.44,137901.77
Sep,RTGS,3.1,0,137904.87
Oct,Interest,0,17238.11,120666.76
Nov,RTGS,0,120666.76,0
Dec,Debit Card,222,0,222
Jan,Debit Card,648,0,870
Feb,Bill,379,0,1249
Mar,Transfer,0,624.5,624.5
Apr,Cheque,0,62.45,562.05
May,Transfer,116288.31,0,116850.36
Jun,IMPS,0,16692.91,100157.45
Jul,Bill,0,50078.73,50078.72
Aug,Debit Card,0,5564.3,44514.42
Sep,Transfer,2.19,0,44516.61
Oct,Purchase,2062.1,0,46578.71
Nov,Tax,0,11644.68,34934.03
Dec,Commission,0,3881.56,31052.47
Jan,IMPS,217371.06,0,248423.53
Feb,Cheque,0,49684.71,198738.82
Mar,Interest,0,28391.26,170347.56
Apr,Tax,39.8,0,170387.36
May,ATM,20638.8,0,191026.16
Jun,Purchase,0,95513.08,95513.08
Jul,Transfer,153287.62,0,248800.7
Aug,Reversal,16346,0,265146.7
Sep,NEFT,7,0,265153.7
Oct,Transfer,0,88384.57,176769.13
Nov,Transfer,702728,0,879497.13
Dec,Tax,0,293165.71,586331.42
Jan,NEFT,141385.5,0,727716.92
Feb,IMPS,0,72771.69,654945.23
Mar,Reversal,0,65494.52,589450.71
Apr,Miscellaneous,13852.61,0,603303.32
May,Debit Card,0,201101.11,402202.21
Jun,Interest,200.34,0,402402.55
Jul,Miscellaneous,0,402402.55,0
Aug,Purchase,3792.24,0,3792.24
Sep,Miscellaneous,418.5,0,4210.74
Oct,Debit Card,0,526.34,3684.4
Nov,NEFT,0,1842.2,1842.2
Dec,Miscellaneous,15529.7,0,17371.9
Jan,ATM,0,2171.49,15200.41
Feb,Miscellaneous,0,2171.49,13028.92
Mar,ATM,0,6514.46,6514.46
Apr,Interest,472.5,0,6986.96
May,IMPS,2.9,0,6989.86
Jun,ATM,0,776.65,6213.21
Jul,Interest,1791839,0,1798052.21
Aug,Transfer,0,224756.53,1573295.68
Sep,NEFT,1111344,0,2684639.68
Oct,RTGS,0,335579.96,2349059.72
Nov,Miscellaneous,1607658,0,3956717.72
Dec,Miscellaneous,4.1,0,3956721.82
Jan,Interest,0,791344.36,3165377.46
Feb,Cheque,0,395672.18,2769705.28
Mar,Tax,0,1384852.64,1384852.64
Apr,Cash,0,230808.77,1154043.87
May,Debit Card,0,128227.1,1025816.77
Jun,Bill,0,102581.68,923235.09
Jul,ATM,0,115404.39,807830.7
Aug,NEFT,17201,0,825031.7
Sep,Tax,63.7,0,825095.4
Oct,Bill,1110.78,0,826206.18
Nov,Debit Card,0,206551.55,619654.64
Dec,Miscellaneous,0,154913.66,464740.98
Jan,Cheque,0,92948.2,371792.78
Feb,Commission,136194.5,0,507987.28
Mar,Purchase,0.1,0,507987.38
Apr,Miscellaneous,3992.8,0,511980.18
May,Miscellaneous,9810.9,0,521791.08
Jun,Reversal,822583.25,0,1344374.33
Jul,Cheque,7.4,0,1344381.73
Aug,Cash,0,672190.87,672190.86
Sep,Cash,4091,0,676281.86
Oct,Interest,0,225427.29,450854.57
Nov,Tax,0,64407.8,386446.77
Dec,RTGS,2822.05,0,389268.82
Jan,Bill,1715277.5,0,2104546.32
Feb,ATM,0,526136.58,1578409.74
Mar,Reversal,0,197301.22,1381108.52
Apr,Miscellaneous,32321.17,0,1413429.69
May,Miscellaneous,0,141342.97,1272086.72
Jun,IMPS,0,141342.97,1130743.75
Jul,Bill,38616.25,0,1169360
Aug,Bill,0,116936,1052424
Sep,Reversal,144.1,0,1052568.1
Oct,Debit Card,0,131571.01,920997.09
Nov,ATM,0,102333.01,818664.08
Dec,Miscellaneous,0,409332.04,409332.04
Jan,Cash,0,136444.01,272888.03
Feb,Commission,2529.1,0,275417.13
Mar,Purchase,0,137708.57,137708.56
Apr,Cash,0,22951.43,114757.13
May,IMPS,0,16393.88,98363.25
Jun,Purchase,0,32787.75,65575.5
Jul,Reversal,29,0,65604.5
Aug,Cheque,531.7,0,66136.2
Sep,Cheque,0,8267.03,57869.18
Oct,Tax,6.8,0,57875.98
Nov,Miscellaneous,2234.6,0,60110.58
Dec,Cheque,29610.65,0,89721.23
Jan,Reversal,0,29907.08,59814.15
Feb,RTGS,0,6646.02,53168.13
Mar,Transfer,11.3,0,53179.43
Apr,Debit Card,0,5908.83,47270.6
May,Cash,0,15756.87,31513.73
Jun,Purchase,1.7,0,31515.43
Jul,Bill,0,5252.57,26262.86
Aug,Debit Card,0,6565.72,19697.14
Sep,Cash,0,4924.29,14772.86
Oct,NEFT,0,1477.29,13295.57
Nov,Transfer,0,1661.95,11633.62
Dec,Cash,0,2326.72,9306.9
Jan,Transfer,0,1034.1,8272.8
Feb,Cash,4.7,0,8277.5
Mar,Purchase,1133978,0,1142255.5
Apr,Cash,285,0,1142540.5
May,NEFT,1985468,0,3128008.5
Jun,RTGS,3659.8,0,3131668.3
Jul,IMPS,0,782917.08,2348751.22
Aug,Debit Card,16533,0,2365284.22
Sep,Commission,6.8,0,2365291.02
Oct,Cash,0,1182645.51,1182645.51
Nov,Commission,109.22,0,1182754.73
Dec,Commission,17534.9,0,1200289.63
Jan,Transfer,27625.3,0,1227914.93
Feb,Miscellaneous,2248.4,0,1230163.33
Mar,Transfer,0,615081.67,615081.66
Apr,Cheque,0,123016.33,492065.33
May,Miscellaneous,30444.2,0,522509.53
Jun,Cheque,1,0,522510.53
Jul,Cheque,3.81,0,522514.34
Aug,Tax,15151.03,0,537665.37
Sep,RTGS,0,134416.34,403249.03
Oct,Interest,0,44805.45,358443.58
Nov,Transfer,42,0,358485.58
Dec,Transfer,2.24,0,358487.82
Jan,Reversal,0,35848.78,322639.04
Feb,Cheque,0,80659.76,241979.28
Mar,Miscellaneous,4,0,241983.28
Apr,Purchase,50.5,0,242033.78
May,Bill,435.19,0,242468.97
Jun,ATM,105.2,0,242574.17
Jul,Interest,0,30321.77,212252.4
Aug,Debit Card,47.3,0,212299.7
Sep,NEFT,0,21229.97,191069.73
Oct,Cash,41.01,0,191110.74
Nov,Cash,45,0,191155.74
Dec,Cheque,0,63718.58,127437.16
Jan,Interest,88,0,127525.16
Feb,Reversal,0,12752.52,114772.64
Mar,Commission,0,22954.53,91818.11
Apr,Reversal,58.9,0,91877.01
May,Cheque,2,0,91879.01
Jun,Debit Card,3501.85,0,95380.86
Jul,Commission,1551464,0,1646844.86
Aug,IMPS,0,235263.55,1411581.31
Sep,Cash,1074.8,0,1412656.11
Oct,Bill,8,0,1412664.11
Nov,Cheque,5.23,0,1412669.34
Dec,Interest,32158.1,0,1444827.44
Jan,Cash,0,206403.92,1238423.52
Feb,Reversal,624,0,1239047.52
Mar,RTGS,2233.43,0,1241280.95
Apr,Purchase,0,248256.19,993024.76
May,RTGS,0,248256.19,744768.57
Jun,RTGS,0,248256.19,496512.38
Jul,Tax,0,248256.19,248256.19
Aug,Interest,0,124128.1,124128.1
Sep,Tax,0,13792.01,110336.09
Oct,ATM,108504.3,0,218840.39
Nov,NEFT,0,72946.8,145893.59
Dec,NEFT,416.8,0,146310.39
Jan,Reversal,3785,0,150095.39
Feb,Interest,0,15009.54,135085.85
Mar,Reversal,0,27017.17,108068.68
Apr,Miscellaneous,192018.3,0,300086.98
May,Purchase,63.4,0,300150.38
Jun,Cheque,0,37518.8,262631.58
Jul,Cheque,23.4,0,262654.98
Aug,IMPS,0,37522.14,225132.84
Sep,Miscellaneous,0,28141.61,196991.24
Oct,Cheque,0,24623.91,172367.34
Nov,IMPS,0,17236.73,155130.61
Dec,Interest,8,0,155138.61
Jan,Transfer,876006.5,0,1031145.11
Feb,Interest,0,257786.28,773358.83
Mar,ATM,122280,0,895638.83
Apr,Bill,0,111954.85,783683.98
May,NEFT,43.45,0,783727.43
Jun,ATM,0,261242.48,522484.95
Jul,Miscellaneous,46,0,522530.95
Aug,Commission,153716,0,676246.95
Sep,Debit Card,0,84530.87,591716.08
Oct,Tax,0,84530.87,507185.21
Nov,Cheque,0,84530.87,422654.34
Dec,Cash,0,84530.87,338123.47
Jan,Bill,0,338123.47,0
Feb,NEFT,20078,0,20078
Mar,Interest,684641,0,704719
Apr,Transfer,0,234906.33,469812.67
May,Cash,0,52201.41,417611.26
Jun,Purchase,0,208805.63,208805.63
Jul,Cash,40.9,0,208846.53
Aug,NEFT,0,104423.27,104423.26
Sep,Transfer,0,26105.82,78317.44
Oct,Bill,2080189.25,0,2158506.69
Nov,Debit Card,0,431701.34,1726805.35
Dec,RTGS,0,863402.68,863402.68
Jan,RTGS,394.68,0,863797.36
Feb,ATM,383,0,864180.36
Mar,NEFT,623138,0,1487318.36
Apr,Miscellaneous,2198.7,0,1489517.06
May,Interest,9823.1,0,1499340.16
Jun,Interest,0,149934.02,1349406.14
Jul,Interest,4.47,0,1349410.61
Aug,Bill,0,224901.77,1124508.84
Sep,NEFT,59.6,0,1124568.44
Oct,Transfer,177812.8,0,1302381.24
Nov,Commission,0,651190.62,651190.62
Dec,Cash,285.31,0,651475.93
Jan,Cash,220811,0,872286.93
Feb,Purchase,0,436143.47,436143.46
Mar,IMPS,0,48460.38,387683.08
Apr,Transfer,7.82,0,387690.9
May,Miscellaneous,58,0,387748.9
Jun,IMPS,9204.2,0,396953.1
Jul,Purchase,6.13,0,396959.23
Aug,Transfer,0,79391.85,317567.38
Sep,Interest,15,0,317582.38
Oct,Cheque,0,39697.8,277884.58
Nov,Cheque,0.4,0,277884.98
Dec,Bill,0,69471.25,208413.74
Jan,Miscellaneous,1202794.5,0,1411208.24
Feb,Reversal,50686.3,0,1461894.54
Mar,Debit Card,21,0,1461915.54
Apr,Debit Card,36.3,0,1461951.84
May,Interest,1968390,0,3430341.84
Jun,Bill,0,343034.18,3087307.66
Jul,IMPS,0,441043.95,2646263.71
Aug,Purchase,44.9,0,2646308.61
Sep,Reversal,68,0,2646376.61
Oct,Purchase,79275,0,2725651.61
Nov,Tax,506106,0,3231757.61
Dec,Tax,0,403969.7,2827787.91
Jan,Commission,6,0,2827793.91
Feb,Interest,9815.9,0,2837609.81
Mar,Interest,0,2837609.81,0
Apr,Debit Card,11892.1,0,11892.1
May,Interest,0,1982.02,9910.08
Jun,Bill,47.7,0,9957.78
Jul,IMPS,33.3,0,9991.08
Aug,Purchase,0,1248.89,8742.2
Sep,RTGS,0,1457.03,7285.17
Oct,IMPS,0,1457.03,5828.14
Nov,Transfer,0,1942.71,3885.43
Dec,Debit Card,0,388.54,3496.89
Jan,Bill,242061.56,0,245558.45
Feb,Purchase,237813,0,483371.45
Mar,Bill,1,0,483372.45
Apr,Cheque,0,48337.25,435035.2
May,RTGS,148889,0,583924.2
Jun,RTGS,1118919,0,1702843.2
Jul,Cash,3757,0,1706600.2
Aug,NEFT,1.22,0,1706601.42
Sep,Miscellaneous,0,189622.38,1516979.04
Oct,Miscellaneous,0,303395.81,1213583.23
Nov,Debit Card,21195.5,0,1234778.73
Dec,Interest,0,154347.34,1080431.39
Jan,Reversal,0,270107.85,810323.54
Feb,Cash,192797.66,0,1003121.2
Mar,ATM,6.8,0,1003128
Apr,Reversal,5859.4,0,1008987.4
May,RTGS,4,0,1008991.4
